pass_index,total_bill,tip,smoker,day,time,size
608,16.99,1.01,No,Sun,Dinner,2
737,10.34,1.66,No,Sun,Dinner,3
20,21.01,3.5,No,Sun,Dinner,3
864,23.68,3.31,No,Sun,Dinner,2
443,24.59,3.61,No,Sun,Dinner,4
405,25.29,4.71,No,Sun,Dinner,4
219,8.77,2.0,No,Sun,Dinner,2
277,26.88,3.12,No,Sun,Dinner,4
607,15.04,1.96,No,Sun,Dinner,2
467,14.78,3.23,No,Sun,Dinner,2
178,10.27,1.71,No,Sun,Dinner,2
556,35.26,5.0,No,Sun,Dinner,4
139,15.42,1.57,No,Sun,Dinner,2
466,18.43,3.0,No,Sun,Dinner,4
393,14.83,3.02,No,Sun,Dinner,2
604,21.58,3.92,No,Sun,Dinner,2
311,10.33,1.67,No,Sun,Dinner,3
658,16.29,3.71,No,Sun,Dinner,3
856,16.97,3.5,No,Sun,Dinner,3
213,20.65,3.35,No,Sat,Dinner,3
385,17.92,4.08,No,Sat,Dinner,2
199,20.29,2.75,No,Sat,Dinner,2
820,15.77,2.23,No,Sat,Dinner,2
740,39.42,7.58,No,Sat,Dinner,4
453,19.82,3.18,No,Sat,Dinner,2
630,17.81,2.34,No,Sat,Dinner,4
547,13.37,2.0,No,Sat,Dinner,2
181,12.69,2.0,No,Sat,Dinner,2
155,21.7,4.3,No,Sat,Dinner,2
327,19.65,3.0,No,Sat,Dinner,2
732,9.55,1.45,No,Sat,Dinner,2
97,18.35,2.5,No,Sat,Dinner,4
319,15.06,3.0,No,Sat,Dinner,2
518,20.69,2.45,No,Sat,Dinner,4
342,17.78,3.27,No,Sat,Dinner,2
30,24.06,3.6,No,Sat,Dinner,3
492,16.31,2.0,No,Sat,Dinner,3
516,16.93,3.07,No,Sat,Dinner,3
30,18.69,2.31,No,Sat,Dinner,3
551,31.27,5.0,No,Sat,Dinner,3
707,16.04,2.24,No,Sat,Dinner,3
745,17.46,2.54,No,Sun,Dinner,2
456,13.94,3.06,No,Sun,Dinner,2
6,9.68,1.32,No,Sun,Dinner,2
17,30.4,5.6,No,Sun,Dinner,4
685,18.29,3.0,No,Sun,Dinner,2
178,22.23,5.0,No,Sun,Dinner,2
795,32.4,6.0,No,Sun,Dinner,4
626,28.55,2.05,No,Sun,Dinner,3
191,18.04,3.0,No,Sun,Dinner,2
295,12.54,2.5,No,Sun,Dinner,2
215,10.29,2.6,No,Sun,Dinner,2
608,34.81,5.2,No,Sun,Dinner,4
124,9.94,1.56,No,Sun,Dinner,2
701,25.56,4.34,No,Sun,Dinner,4
625,19.49,3.51,No,Sun,Dinner,2
209,38.01,3.0,Yes,Sat,Dinner,4
558,26.41,1.5,No,Sat,Dinner,2
242,11.24,1.76,Yes,Sat,Dinner,2
570,48.27,6.73,No,Sat,Dinner,4
637,20.29,3.21,Yes,Sat,Dinner,2
723,13.81,2.0,Yes,Sat,Dinner,2
872,11.02,1.98,Yes,Sat,Dinner,2
344,18.29,3.76,Yes,Sat,Dinner,4
848,17.59,2.64,No,Sat,Dinner,3
54,20.08,3.15,No,Sat,Dinner,3
357,16.45,2.47,No,Sat,Dinner,2
257,3.07,1.0,Yes,Sat,Dinner,1
544,20.23,2.01,No,Sat,Dinner,2
234,15.01,2.09,Yes,Sat,Dinner,2
740,12.02,1.97,No,Sat,Dinner,2
862,17.07,3.0,No,Sat,Dinner,3
318,26.86,3.14,Yes,Sat,Dinner,2
387,25.28,5.0,Yes,Sat,Dinner,2
641,14.73,2.2,No,Sat,Dinner,2
557,10.51,1.25,No,Sat,Dinner,2
145,17.92,3.08,Yes,Sat,Dinner,2
54,27.2,4.0,No,Thur,Lunch,4
181,22.76,3.0,No,Thur,Lunch,2
317,17.29,2.71,No,Thur,Lunch,2
